,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
148,LDST_250430-0006_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:12:47.89,,2460796.4255542825
109,LDST_250430-0007_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T22:17:13.55,,2460796.428629051
78,LDST_250430-0007_GSTAR.fit,LDST_250430,G*,LIGHT,2025-04-30T22:17:57.80,,2460796.429141204
117,LDST_250430-0007_BSTAR.fit,LDST_250430,B*,LIGHT,2025-04-30T22:18:42.08,,2460796.4296537037
184,LDST_250430-0007_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:19:26.30,,2460796.430165509
42,LDST_250430-0008_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T22:20:12.00,,2460796.4306944446
102,LDST_250430-0008_GSTAR.fit,LDST_250430,G*,LIGHT,2025-04-30T22:20:56.32,,2460796.4312074073
47,LDST_250430-0008_BSTAR.fit,LDST_250430,B*,LIGHT,2025-04-30T22:21:40.57,,2460796.43171956
128,LDST_250430-0008_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:22:24.73,,2460796.4322306714
52,LDST_250430-0009_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T22:23:10.38,,2460796.432759028
90,LDST_250430-0009_GSTAR.fit,LDST_250430,G*,LIGHT,2025-04-30T22:23:54.67,,2460796.4332716437
34,LDST_250430-0009_BSTAR.fit,LDST_250430,B*,LIGHT,2025-04-30T22:24:38.99,,2460796.4337846064
230,LDST_250430-0009_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:25:23.29,,2460796.434297338
170,LDST_250430-0010_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T22:26:08.88,,2460796.434825
287,LDST_250430-0010_GSTAR.fit,LDST_250430,G*,LIGHT,2025-04-30T22:26:53.47,,2460796.435341088
179,LDST_250430-0010_BSTAR.fit,LDST_250430,B*,LIGHT,2025-04-30T22:27:37.76,,2460796.435853704
207,LDST_250430-0010_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:28:21.87,,2460796.4363642363
180,LDST_250430-0011_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T22:29:07.54,,2460796.4368928242
283,LDST_250430-0011_GSTAR.fit,LDST_250430,G*,LIGHT,2025-04-30T22:29:51.91,,2460796.4374063658
165,LDST_250430-0011_BSTAR.fit,LDST_250430,B*,LIGHT,2025-04-30T22:30:36.17,,2460796.437918634
95,LDST_250430-0011_HALPHASTAR.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:31:20.29,,2460796.4384292825
121,LDST_250430-0012_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:36:04.05,,2460796.4417135417
94,LDST_250430-0012_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:37:08.35,,2460796.4424577546
296,LDST_250430-0012_B.fit,LDST_250430,B*,LIGHT,2025-04-30T22:38:12.68,,2460796.443202315
31,LDST_250430-0012_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:39:16.77,,2460796.443944097
156,LDST_250430-0013_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:40:22.43,,2460796.444704051
140,LDST_250430-0013_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:41:26.59,,2460796.4454466435
263,LDST_250430-0013_B.fit,LDST_250430,B*,LIGHT,2025-04-30T22:42:30.80,,2460796.4461898147
248,LDST_250430-0013_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:43:34.92,,2460796.446931944
189,LDST_250430-0014_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:44:40.53,,2460796.4476913195
175,LDST_250430-0014_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:45:44.79,,2460796.4484350695
68,LDST_250430-0014_B.fit,LDST_250430,B*,LIGHT,2025-04-30T22:46:49.15,,2460796.4491799767
304,LDST_250430-0014_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:47:53.30,,2460796.4499224536
225,LDST_250430-0015_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:48:58.83,,2460796.4506809027
203,LDST_250430-0015_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:50:03.07,,2460796.4514244213
26,LDST_250430-0015_B.fit,LDST_250430,B*,LIGHT,2025-04-30T22:51:07.35,,2460796.4521684027
17,LDST_250430-0015_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:52:11.43,,2460796.4529100694
256,LDST_250430-0016_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:53:17.03,,2460796.4536693287
237,LDST_250430-0016_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:54:21.28,,2460796.454412963
159,LDST_250430-0016_B.fit,LDST_250430,B*,LIGHT,2025-04-30T22:55:25.57,,2460796.45515706
221,LDST_250430-0016_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T22:56:29.60,,2460796.455898148
290,LDST_250430-0017_R.fit,LDST_250430,R*,LIGHT,2025-04-30T22:58:24.02,,2460796.457222454
271,LDST_250430-0017_G.fit,LDST_250430,G*,LIGHT,2025-04-30T22:59:28.25,,2460796.4579658564
126,LDST_250430-0017_B.fit,LDST_250430,B*,LIGHT,2025-04-30T23:00:32.58,,2460796.4587104167
116,LDST_250430-0017_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T23:01:36.62,,2460796.4594516205
194,LDST_250430-0018_R.fit,LDST_250430,R*,LIGHT,2025-04-30T23:02:42.33,,2460796.460212153
178,LDST_250430-0018_G.fit,LDST_250430,G*,LIGHT,2025-04-30T23:03:46.60,,2460796.4609560184
64,LDST_250430-0018_B.fit,LDST_250430,B*,LIGHT,2025-04-30T23:04:50.91,,2460796.4617003473
261,LDST_250430-0018_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T23:05:55.13,,2460796.4624436344
227,LDST_250430-0019_R.fit,LDST_250430,R*,LIGHT,2025-04-30T23:07:00.71,,2460796.463202662
210,LDST_250430-0019_G.fit,LDST_250430,G*,LIGHT,2025-04-30T23:08:05.02,,2460796.4639469907
19,LDST_250430-0019_B.fit,LDST_250430,B*,LIGHT,2025-04-30T23:09:09.23,,2460796.464690162
79,LDST_250430-0019_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T23:10:13.34,,2460796.465432176
279,LDST_250430-0020_R.fit,LDST_250430,R*,LIGHT,2025-04-30T23:11:18.94,,2460796.466191435
288,LDST_250430-0020_G.fit,LDST_250430,G*,LIGHT,2025-04-30T23:12:23.10,,2460796.4669340276
104,LDST_250430-0020_B.fit,LDST_250430,B*,LIGHT,2025-04-30T23:13:27.36,,2460796.4676777776
197,LDST_250430-0020_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T23:14:31.43,,2460796.468419329
234,LDST_250430-0021_R.fit,LDST_250430,R*,LIGHT,2025-04-30T23:15:37.14,,2460796.4691798612
262,LDST_250430-0021_G.fit,LDST_250430,G*,LIGHT,2025-04-30T23:16:41.50,,2460796.4699247684
143,LDST_250430-0021_B.fit,LDST_250430,B*,LIGHT,2025-04-30T23:17:45.74,,2460796.470668287
150,LDST_250430-0021_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T23:18:49.94,,2460796.4714113427
169,LDST_250430-0014_bias.fit,LDST_250430,,BIAS,2025-04-30T23:52:53.14,,2460796.4950594907
258,LDST_250430-0015_bias.fit,LDST_250430,,BIAS,2025-04-30T23:52:55.59,,2460796.495087847
41,LDST_250430-0016_bias.fit,LDST_250430,,BIAS,2025-04-30T23:52:57.93,,2460796.4951149304
152,LDST_250430-0017_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:00.17,,2460796.4951408566
155,LDST_250430-0018_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:02.56,,2460796.4951685187
39,LDST_250430-0019_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:04.93,,2460796.495195949
89,LDST_250430-0020_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:07.18,,2460796.4952219906
20,LDST_250430-0021_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:09.42,,2460796.495247917
274,LDST_250430-0022_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:11.61,,2460796.4952732637
213,LDST_250430-0023_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:13.93,,2460796.4953001156
192,LDST_250430-0024_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:16.36,,2460796.4953282406
247,LDST_250430-0025_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:18.68,,2460796.4953550925
82,LDST_250430-0026_bias.fit,LDST_250430,,BIAS,2025-04-30T23:53:20.99,,2460796.495381829
131,LDST_250430-0014_dark.fit,LDST_250430,ND1.2,LIGHT,2025-04-30T23:53:24.69,,2460796.495424653
204,LDST_250430-0022_R.fit,LDST_250430,R*,LIGHT,2025-05-01T00:37:52.94,,2460796.526307176
219,LDST_250430-0022_G.fit,LDST_250430,G*,LIGHT,2025-05-01T00:38:59.71,,2460796.5270799766
3,LDST_250430-0022_B.fit,LDST_250430,B*,LIGHT,2025-05-01T00:40:04.14,,2460796.5278256945
254,LDST_250430-0022_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T00:41:08.35,,2460796.5285688657
172,LDST_250430-0023_R.fit,LDST_250430,R*,LIGHT,2025-05-01T00:42:14.04,,2460796.5293291667
190,LDST_250430-0023_G.fit,LDST_250430,G*,LIGHT,2025-05-01T00:43:18.51,,2460796.530075347
46,LDST_250430-0023_B.fit,LDST_250430,B*,LIGHT,2025-05-01T00:44:22.91,,2460796.5308207176
38,LDST_250430-0023_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T00:45:27.11,,2460796.5315637733
136,LDST_250430-0024_R.fit,LDST_250430,R*,LIGHT,2025-05-01T00:46:32.83,,2460796.532324421
157,LDST_250430-0024_G.fit,LDST_250430,G*,LIGHT,2025-05-01T00:47:37.13,,2460796.533068634
239,LDST_250430-0024_B.fit,LDST_250430,B*,LIGHT,2025-05-01T00:48:41.48,,2460796.533813426
13,LDST_250430-0024_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T00:49:45.72,,2460796.5345569444
97,LDST_250430-0025_R.fit,LDST_250430,R*,LIGHT,2025-05-01T00:50:51.42,,2460796.535317361
114,LDST_250430-0025_G.fit,LDST_250430,G*,LIGHT,2025-05-01T00:51:55.82,,2460796.5360627314
281,LDST_250430-0025_B.fit,LDST_250430,B*,LIGHT,2025-05-01T00:53:00.11,,2460796.536806829
300,LDST_250430-0025_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T00:54:04.39,,2460796.5375508103
55,LDST_250430-0026_R.fit,LDST_250430,R*,LIGHT,2025-05-01T00:55:10.20,,2460796.5383125
81,LDST_250430-0026_G.fit,LDST_250430,G*,LIGHT,2025-05-01T00:56:14.38,,2460796.539055324
167,LDST_250430-0026_B.fit,LDST_250430,B*,LIGHT,2025-05-01T00:57:18.60,,2460796.5397986113
118,LDST_250430-0026_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T00:58:22.80,,2460796.5405416666
11,LDST_250430-0027_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:02:13.97,,2460796.5432172455
27,LDST_250430-0027_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:03:18.26,,2460796.5439613424
201,LDST_250430-0027_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:04:22.64,,2460796.5447064815
223,LDST_250430-0027_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:05:26.79,,2460796.5454489584
134,LDST_250430-0028_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:06:32.43,,2460796.5462086806
151,LDST_250430-0028_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:07:36.68,,2460796.5469523147
246,LDST_250430-0028_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:08:40.86,,2460796.547695139
77,LDST_250430-0028_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:09:45.23,,2460796.548440162
87,LDST_250430-0029_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:10:50.82,,2460796.5491993055
111,LDST_250430-0029_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:11:55.25,,2460796.5499450234
284,LDST_250430-0029_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:12:59.56,,2460796.5506893517
259,LDST_250430-0029_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:14:03.72,,2460796.5514319446
67,LDST_250430-0030_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:15:09.25,,2460796.5521903937
49,LDST_250430-0030_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:16:13.50,,2460796.5529340277
188,LDST_250430-0030_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:17:17.76,,2460796.5536777778
