,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
109,109.0,109.0,109.0,54.0,reduced_M82_H_alpha_65.fits,M82,H_alpha,REDUCED,2025-04-30T21:05:28.19,,2460796.3787984955
110,110.0,110.0,110.0,15.0,LDST_250430-0006_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:06:41.75,,2460796.379649884
111,111.0,111.0,111.0,121.0,registered_M82_R*_200.fits,M82,R*,REGISTERED,2025-04-30T21:06:41.75,,2460796.379649884
112,112.0,112.0,112.0,63.0,reduced_M82_R*_66.fits,M82,R*,REDUCED,2025-04-30T21:06:41.75,,2460796.379649884
113,113.0,113.0,113.0,489.0,registered_M82_G*_201.fits,M82,G*,REGISTERED,2025-04-30T21:07:46.14,,2460796.380395139
114,114.0,114.0,114.0,47.0,LDST_250430-0006_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:07:46.14,,2460796.380395139
115,115.0,115.0,115.0,332.0,reduced_M82_G*_67.fits,M82,G*,REDUCED,2025-04-30T21:07:46.14,,2460796.380395139
116,116.0,116.0,116.0,304.0,reduced_M82_B*_68.fits,M82,B*,REDUCED,2025-04-30T21:08:50.40,,2460796.381138889
117,117.0,117.0,117.0,213.0,registered_M82_B*_202.fits,M82,B*,REGISTERED,2025-04-30T21:08:50.40,,2460796.381138889
118,118.0,118.0,118.0,346.0,LDST_250430-0006_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:08:50.40,,2460796.381138889
119,119.0,119.0,119.0,225.0,LDST_250430-0006_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:09:54.65,,2460796.381882523
120,120.0,120.0,120.0,65.0,reduced_M82_H_alpha_69.fits,M82,H_alpha,REDUCED,2025-04-30T21:09:54.65,,2460796.381882523
121,121.0,121.0,121.0,482.0,registered_M82_H_alpha_203.fits,M82,H_alpha,REGISTERED,2025-04-30T21:09:54.65,,2460796.381882523
122,122.0,122.0,122.0,451.0,reduced_M82_R*_70.fits,M82,R*,REDUCED,2025-04-30T21:11:00.48,,2460796.382644444
123,123.0,123.0,123.0,97.0,registered_M82_R*_204.fits,M82,R*,REGISTERED,2025-04-30T21:11:00.48,,2460796.382644444
